boro,boro_name,NEIGHBORHOOD,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,gini_p_value,ci_p_value,ki_p_value,mki_p_value,accuracy,uniformity,vertical_equity,BORO,BORO_NAME,NBHD,NBHD_NAME
4,Queens,4050,prediction,GROSSCON,337,1.0013,0.8268838282287684,0.846464031523839,9.114372548342988,1.0181717510738533,-0.1014860864650029,1.1537440734537476,0.17090804154829173,0.1404735268891514,-0.03043451465914017,0.8219246187398347,0,0,0,0,TRUE,TRUE,TRUE,4,Queens,BAYSIDE,BAYSIDE
4,Queens,4060,prediction,GROSSCON,153,0.9942,0.8263497353582457,0.6839599670185418,7.410856958216121,1.0084962127853607,-0.059415831649771184,1.0930827689647364,0.1253938105233726,0.10140981571550209,-0.023983994807870473,0.8087306326543122,0,0,0,0,TRUE,TRUE,TRUE,4,Queens,BEECHHURST,BEECHHURST
4,Queens,4070,prediction,GROSSCON,12,0.9335,0.8314301396077618,0.7999305658880128,8.356086049896245,1.0190657659336795,-0.2036463940753379,1.271004424414239,0.15208422250675768,0.10840040012045808,-0.04368382238629963,0.7127655869473339,6.6e-6,7.51e-5,0.0360228,7.51e-5,TRUE,TRUE,TRUE,4,Queens,BELLE HRBR,BELLE HARBOR
4,Queens,4100,prediction,GROSSCON,122,0.9969,0.8764392515490197,0.8457800372131445,7.804887322968994,1.0156188143495746,-0.12102140296337273,1.183950305618835,0.15265477159731453,0.119936377418959,-0.03271839417835536,0.7856706748436084,0,0,0,0,TRUE,TRUE,TRUE,4,Queens,BRIARWOOD,BRIARWOOD
4,Queens,4140,prediction,GROSSCON,104,1.0407,0.7511094075896474,0.6969174121314047,10.470247396760394,1.0217684193040697,-0.1199905709347308,1.2156900790709984,0.16503756471633757,0.12095735922234166,-0.04408020549399594,0.7329080469058059,0,0,0,0,TRUE,TRUE,TRUE,4,Queens,CORONA,CORONA
4,Queens,4150,prediction,GROSSCON,44,0.9802,0.910107640813023,0.7688818901424751,9.381065073293158,1.0264629534181913,-0.11439411291006873,1.165615325616973,0.19791961078459075,0.15218036548509745,-0.045739245299493386,0.7688998825423398,0,0,1.96e-5,0,TRUE,TRUE,TRUE,4,Queens,DOUGLASTON,DOUGLASTON
4,Queens,4160,prediction,GROSSCON,5,,,,,,,,,,,,,,,,,,,4,Queens,E ELMHURST,EAST ELMHURST
4,Queens,4170,prediction,GROSSCON,187,1.0057,0.8459538437759241,0.7971156128191789,8.709029024457172,1.0182748920942137,-0.1486554694884898,1.2053999328778868,0.1505087756101641,0.11409440444579504,-0.03641437116436917,0.7580581529764969,0,0,0,0,TRUE,TRUE,TRUE,4,Queens,ELMHURST,ELMHURST
4,Queens,4180,prediction,GROSSCON,8,0.9272,0.9602820196530822,0.9070294784580502,8.18537845212527,1.0276588841179393,-0.0748509437448297,1.1195290782662322,0.29358696114728294,0.2614091914678188,-0.032177769679464056,0.8903978243661793,4.8e-6,2.98e-5,0.2027928,2.98e-5,TRUE,TRUE,TRUE,4,Queens,FAR ROCKWY,FAR ROCKAWAY
4,Queens,4190,prediction,GROSSCON,31,0.9823,0.46010165320132895,0.4649750879469871,11.263863415328895,1.0252951629443727,-0.5063327595141477,1.7306013407104417,0.1092227349711281,0.04510962211626791,-0.06411311285486014,0.41300579158901446,0,2.76e-5,2e-7,2.76e-5,TRUE,TRUE,TRUE,4,Queens,FLORAL PK,FLORAL PARK
